node_a,node_b,shared_papers
oxidative_stress_redox,p53_apoptosis_cell_cycle,500
immune_checkpoint,oxidative_stress_redox,427
oxidative_stress_redox,perfusion_vascular_hypoxia,340
metabolic_fasting_glycolysis,oxidative_stress_redox,283
immune_checkpoint,p53_apoptosis_cell_cycle,204
herb_drug_interaction_cyp_pgp,oxidative_stress_redox,185
metabolic_fasting_glycolysis,p53_apoptosis_cell_cycle,175
cannabinoid_endocannabinoid,oxidative_stress_redox,171
dna_damage_parp,oxidative_stress_redox,153
electron_transport_oxphos,oxidative_stress_redox,138
p53_apoptosis_cell_cycle,perfusion_vascular_hypoxia,125
immune_checkpoint,metabolic_fasting_glycolysis,121
immune_checkpoint,perfusion_vascular_hypoxia,117
dna_damage_parp,p53_apoptosis_cell_cycle,103
metabolic_fasting_glycolysis,perfusion_vascular_hypoxia,83
electron_transport_oxphos,metabolic_fasting_glycolysis,76
cannabinoid_endocannabinoid,p53_apoptosis_cell_cycle,69
dna_damage_parp,immune_checkpoint,65
electron_transport_oxphos,p53_apoptosis_cell_cycle,65
electron_transport_oxphos,immune_checkpoint,53
microtubule_mitosis,oxidative_stress_redox,49
herb_drug_interaction_cyp_pgp,p53_apoptosis_cell_cycle,47
cannabinoid_endocannabinoid,herb_drug_interaction_cyp_pgp,46
herb_drug_interaction_cyp_pgp,immune_checkpoint,46
cannabinoid_endocannabinoid,immune_checkpoint,44
electron_transport_oxphos,herb_drug_interaction_cyp_pgp,39
cannabinoid_endocannabinoid,perfusion_vascular_hypoxia,39
dna_damage_parp,metabolic_fasting_glycolysis,36
cannabinoid_endocannabinoid,metabolic_fasting_glycolysis,35
herb_drug_interaction_cyp_pgp,metabolic_fasting_glycolysis,31
microtubule_mitosis,p53_apoptosis_cell_cycle,29
oxidative_stress_redox,spike_vaccine_cancer_signal,24
electron_transport_oxphos,perfusion_vascular_hypoxia,23
herb_drug_interaction_cyp_pgp,perfusion_vascular_hypoxia,21
cannabinoid_endocannabinoid,electron_transport_oxphos,20
dna_damage_parp,electron_transport_oxphos,19
immune_checkpoint,spike_vaccine_cancer_signal,19
dna_damage_parp,perfusion_vascular_hypoxia,17
dna_damage_parp,herb_drug_interaction_cyp_pgp,16
microtubule_mitosis,perfusion_vascular_hypoxia,16
