journal,papers
ClinicalTrials.gov,783
International Journal of Molecular Sciences,256
Molecules,194
Nutrients,189
Scientific Reports,165
Frontiers in Pharmacology,110
Cancers,87
Pharmaceuticals,76
Antioxidants,75
Frontiers in Immunology,64
Frontiers in Oncology,58
Medicine,55
Frontiers in Nutrition,48
BMC Cancer,47
Integrative Cancer Therapies,44
Supportive Care in Cancer,43
BMJ Open,43
Biomolecules,42
"Drug Design, Development and Therapy",39
PLOS ONE,36
Trials,36
ACS Omega,34
Foods,32
PLOS One,31
Biomedicines,30
British Journal of Cancer,29
Current Issues in Molecular Biology,29
Discover Oncology,29
Plants,28
BMC Complementary Medicine and Therapies,27
Cureus,27
Nature Communications,25
"Journal of Cachexia, Sarcopenia and Muscle",25
Pharmaceutics,25
RSC Advances,25
Clinical Cancer Research,24
Cells,24
Heliyon,23
Food Science &amp; Nutrition,23
Cancer Medicine,22
Life,20
Journal of Inorganic Biochemistry,19
The Oncologist,19
Cancer Prevention Research,19
International Journal of Nanomedicine,18
Journal of Cancer Research and Clinical Oncology,17
Redox Biology,17
Frontiers in Endocrinology,17
Journal of Clinical Medicine,17
Journal of Medicinal Chemistry,17
