id,title,journal,year,source_class,identifier,id_kind,verified,retrieval_status,mechanism_nodes,cohorts,has_abstract,abstract_source,link
auranofin_sirolimus_lung,Sirolimus and Auranofin in Treating Patients With Advanced or Recurrent Non-Small Cell Lung Cancer or Small Cell Lung Cancer,ClinicalTrials.gov,2014-05-14,trial_registry,NCT01737502,nct,True,POINTER_ONLY,,lung,False,,https://clinicaltrials.gov/study/NCT01737502
epmc_med_12823608,Five years survival in metastatic non‐small cell lung cancer patients treated with chemotherapy alone or chemotherapy and melatonin: a randomized trial,Journal of Pineal Research,2003,rct,10.1034/j.1600-079x.2003.00032.x,doi,True,POINTER_ONLY,,lung,True,,https://doi.org/10.1034/j.1600-079x.2003.00032.x
epmc_med_16077972,Combination of betulinic acid with cisplatin - different cytotoxic effects in two head and neck cancer cell lines,Oncology Reports,2005,observational,10.3892/or.14.3.667,doi,True,VERIFIED,herb_drug_interaction_cyp_pgp|p53_apoptosis_cell_cycle,head_neck|melanoma,True,,https://doi.org/10.3892/or.14.3.667
epmc_med_18297286,Inhibition of mitochondrial protein translation sensitizes melanoma cells to arsenic trioxide cytotoxicity via a reactive oxygen species dependent mechanism,Cancer Chemotherapy and Pharmacology,2008,observational,10.1007/s00280-008-0705-y,doi,True,POINTER_ONLY,electron_transport_oxphos|oxidative_stress_redox|p53_apoptosis_cell_cycle,melanoma,True,,https://doi.org/10.1007/s00280-008-0705-y
epmc_med_19350378,"Stress Biomarkers as Outcomes for HIV+ Prevention: Participation, Feasibility and Findings Among HIV+ Latina and African American Mothers",AIDS and Behavior,2009,rct,10.1007/s10461-009-9549-7,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1007/s10461-009-9549-7
epmc_med_20622677,Relationship Between CD4+ T-Cell Counts/HIV-1 RNA Plasma Viral Load and AIDS-Defining Events Among Persons Followed in the ACTG Longitudinal Linked Randomized Trials Study,JAIDS Journal of Acquired Immune Deficiency Syndromes,2010,rct,10.1097/qai.0b013e3181e8c129,doi,True,POINTER_ONLY,immune_checkpoint|oxidative_stress_redox,,True,,https://doi.org/10.1097/qai.0b013e3181e8c129
epmc_med_21542829,Differential transcriptional profiles mediated by exposure to the cannabinoids cannabidiol and Δ<sup>9</sup>‐tetrahydrocannabinol in BV‐2 microglial cells,British Journal of Pharmacology,2012,observational,10.1111/j.1476-5381.2011.01461.x,doi,True,POINTER_ONLY,cannabinoid_endocannabinoid|oxidative_stress_redox,,True,,https://doi.org/10.1111/j.1476-5381.2011.01461.x
epmc_med_22742672,Distant Healing of Surgical Wounds: An Exploratory Study,EXPLORE,2012,rct,10.1016/j.explore.2012.04.004,doi,True,POINTER_ONLY,oxidative_stress_redox,breast,True,,https://doi.org/10.1016/j.explore.2012.04.004
epmc_med_23414451,In vivo mouse cardiac hyperpolarized magnetic resonance spectroscopy,Journal of Cardiovascular Magnetic Resonance,2013,observational,10.1186/1532-429x-15-19,doi,True,POINTER_ONLY,metabolic_fasting_glycolysis|oxidative_stress_redox,,True,,https://doi.org/10.1186/1532-429x-15-19
epmc_med_24297161,Phase 1 trial of dichloroacetate (DCA) in adults with recurrent malignant brain tumors,Investigational New Drugs,2013,clinical_trial,10.1007/s10637-013-0047-4,doi,True,POINTER_ONLY,oxidative_stress_redox,glioma_gbm,True,,https://doi.org/10.1007/s10637-013-0047-4
epmc_med_25142999,Influence of <i><scp>P</scp>anax ginseng</i> on the Steady State Pharmacokinetic Profile of Lopinavir‐Ritonavir in Healthy Volunteers,Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,2014,clinical_trial,10.1002/phar.1473,doi,True,POINTER_ONLY,electron_transport_oxphos,,True,,https://doi.org/10.1002/phar.1473
epmc_med_26245807,Impact of equol-producing capacity and soy-isoflavone profiles of supplements on bone calcium retention in postmenopausal women: a randomized crossover trial,The American Journal of Clinical Nutrition,2015,rct,10.3945/ajcn.114.093906,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.3945/ajcn.114.093906
epmc_med_26951205,"Impact of phenolic-rich olive leaf extract on blood pressure, plasma lipids and inflammatory markers: a randomised controlled trial",European Journal of Nutrition,2016,rct,10.1007/s00394-016-1188-y,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1007/s00394-016-1188-y
epmc_med_27511820,"Target Organ Metabolism, Toxicity, and Mechanisms of Trichloroethylene and Perchloroethylene: Key Similarities, Differences, and Data Gaps",The Journal of Pharmacology and Experimental Therapeutics,2016,observational,10.1124/jpet.116.232629,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1124/jpet.116.232629
epmc_med_28174153,"A prospective, randomised, double-masked comparison of local anaesthetic agents for vitrectomy",British Journal of Ophthalmology,2017,rct,10.1136/bjophthalmol-2016-309780,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.1136/bjophthalmol-2016-309780
epmc_med_28814830,Comparative analysis of essential oil composition of Iranian and Indian &lt;em&gt;Nigella sativa&lt;/em&gt; L. extracted using supercritical fluid extraction and solvent extraction,"Drug Design, Development and Therapy",2017,observational,10.2147/dddt.s87251,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.2147/dddt.s87251
epmc_med_29404841,A multi-center survey on dietary knowledge and behavior among inpatients in oncology department,Supportive Care in Cancer,2018,international_literature,10.1007/s00520-018-4057-9,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1007/s00520-018-4057-9
epmc_med_30068487,Phase I trial of selenium plus chemotherapy in gynecologic cancers,Gynecologic Oncology,2018,clinical_trial,10.1016/j.ygyno.2018.07.001,doi,True,POINTER_ONLY,dna_damage_parp,ovarian,True,,https://doi.org/10.1016/j.ygyno.2018.07.001
epmc_med_30588339,Molecular and epigenetic regulatory mechanisms of normal stem cell radiosensitivity,Cell Death Discovery,2018,narrative_review,10.1038/s41420-018-0132-8,doi,True,VERIFIED,dna_damage_parp|p53_apoptosis_cell_cycle,leukemia,True,,https://doi.org/10.1038/s41420-018-0132-8
epmc_med_31031622,Plant-Derived Alkaloids: The Promising Disease-Modifying Agents for Inflammatory Bowel Disease,Frontiers in Pharmacology,2019,narrative_review,10.3389/fphar.2019.00351,doi,True,VERIFIED,,,True,,https://doi.org/10.3389/fphar.2019.00351
epmc_med_31619261,Linoleic acid improves assembly of the CII subunit and CIII2/CIV complex of the mitochondrial oxidative phosphorylation system in heart failure,Cell Communication and Signaling,2019,clinical_trial,10.1186/s12964-019-0445-0,doi,True,POINTER_ONLY,electron_transport_oxphos,,True,,https://doi.org/10.1186/s12964-019-0445-0
epmc_med_31987122,Fish oil supplementation in cancer patients. Capsules or nutritional drink supplements? A controlled study of compliance,Clinical Nutrition ESPEN,2020,rct,10.1016/j.clnesp.2019.12.004,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1016/j.clnesp.2019.12.004
epmc_med_32372215,Effect of melatonin supplementation in combination with neoadjuvant chemotherapy to miR-210 and CD44 expression and clinical response improvement in locally advanced oral squamous cell carcinoma: a randomized controlled trial,Journal of the Egyptian National Cancer Institute,2020,rct,10.1186/s43046-020-0021-0,doi,True,POINTER_ONLY,oxidative_stress_redox|perfusion_vascular_hypoxia,head_neck,True,,https://doi.org/10.1186/s43046-020-0021-0
epmc_med_32644127,"Safety, Pharmacokinetics, and Causal Prophylactic Efficacy of KAF156 in a <i>Plasmodium falciparum</i> Human Infection Study",Clinical Infectious Diseases,2020,rct,10.1093/cid/ciaa952,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1093/cid/ciaa952
epmc_med_32856476,"Overall Survival of Nonmetastasized NSCLC Patients Treated With Add-On
                    <i>Viscum album</i>
                    L: A Multicenter Real-World Study",Integrative Cancer Therapies,2020,international_literature,10.1177/1534735420940384,doi,True,POINTER_ONLY,,lung,True,,https://doi.org/10.1177/1534735420940384
epmc_med_33171663,Immunomodulatory Effects of Edible and Medicinal Mushrooms and Their Bioactive Immunoregulatory Products,Journal of Fungi,2020,narrative_review,10.3390/jof6040269,doi,True,POINTER_ONLY,cannabinoid_endocannabinoid,,True,,https://doi.org/10.3390/jof6040269
epmc_med_33466517,Complementary Methods in Cancer Treatment—Cure or Curse?,International Journal of Environmental Research and Public Health,2021,international_literature,10.3390/ijerph18010356,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.3390/ijerph18010356
epmc_med_33802219,Supplementation with Octacosanol Affects the Level of PCSK9 and Restore Its Physiologic Relation with LDL-C in Patients on Chronic Statin Therapy,Nutrients,2021,rct,10.3390/nu13030903,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.3390/nu13030903
epmc_med_34072098,Comparative Protective Effect of Nigella sativa Oil and Vitis vinifera Seed Oil in an Experimental Model of Isoproterenol-Induced Acute Myocardial Ischemia in Rats,Molecules,2021,observational,10.3390/molecules26113221,doi,True,POINTER_ONLY,oxidative_stress_redox,,True,,https://doi.org/10.3390/molecules26113221
epmc_med_34305355,Role of Ayurveda and Yoga-Based lifestyle in the COVID-19 pandemic – A narrative review,Journal of Ayurveda and Integrative Medicine,2022,narrative_review,10.1016/j.jaim.2021.07.009,doi,True,VERIFIED,,,True,,https://doi.org/10.1016/j.jaim.2021.07.009
epmc_med_34631734,"Cannabinoids, Medical Cannabis, and Colorectal Cancer Immunotherapy",Frontiers in Medicine,2021,narrative_review,10.3389/fmed.2021.713153,doi,True,VERIFIED,cannabinoid_endocannabinoid|immune_checkpoint|p53_apoptosis_cell_cycle|perfusion_vascular_hypoxia,colorectal,True,,https://doi.org/10.3389/fmed.2021.713153
epmc_med_34831236,The Response of Mitochondrial Respiration and Quantity in Skeletal Muscle and Adipose Tissue to Exercise in Humans with Prediabetes,Cells,2021,clinical_trial,10.3390/cells10113013,doi,True,POINTER_ONLY,electron_transport_oxphos|metabolic_fasting_glycolysis|perfusion_vascular_hypoxia,,True,,https://doi.org/10.3390/cells10113013
epmc_med_35087614,A Novel Method for Identifying Parkin Binding Agents in Complex Preparations of Herbal Medicines,Oxidative Medicine and Cellular Longevity,2022,international_literature,10.1155/2022/3260243,doi,True,POINTER_ONLY,,,True,,https://doi.org/10.1155/2022/3260243
