id,title,journal,year,source_class,identifier,id_kind,verified,retrieval_status,mechanism_nodes,cohorts,has_abstract,abstract_source,link,caveat
auranofin_sirolimus_lung,Sirolimus and Auranofin in Treating Patients With Advanced or Recurrent Non-Small Cell Lung Cancer or Small Cell Lung Cancer,ClinicalTrials.gov,2014-05-14,trial_registry,NCT01737502,nct,True,POINTER_ONLY,,lung,False,,https://clinicaltrials.gov/study/NCT01737502,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
auranofin_sirolimus_ovarian,Auranofin and Sirolimus in Treating Participants With Ovarian Cancer,ClinicalTrials.gov,2018-03-30,trial_registry,NCT03456700,nct,True,POINTER_ONLY,,ovarian,False,,https://clinicaltrials.gov/study/NCT03456700,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
autogene_cevumeran_pdac_3yr_2024,RNA neoantigen vaccines prime long-lived CD8+ T cells in pancreatic cancer,Nature,2025,small_human_cohort,10.1038/s41586-024-08508-4,doi,True,POINTER_ONLY,immune_checkpoint,pancreatic,False,,https://doi.org/10.1038/s41586-024-08508-4,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
bengston_recorded_signals_cancer_models_2023,Differential In Vivo Effects on Cancer Models by Recorded Magnetic Signals Derived From a Healing Technique,Dose-Response,2023,preclinical_mouse,10.1177/15593258231179903,doi,True,POINTER_ONLY,,,False,,https://doi.org/10.1177/15593258231179903,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
challenge_co21_exercise_colon,Health Education Materials With/Out a Physical Activity Program for Patients Who Have Undergone Treatment for High-Risk Stage II or Stage III Colon Cancer,ClinicalTrials.gov,2009-06-02,trial_registry,NCT00819208,nct,True,POINTER_ONLY,,colorectal,False,,https://clinicaltrials.gov/study/NCT00819208,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
curcumin_notch1_retracted_2006,Retracted: Notch‐1 down‐regulation by curcumin is associated with the inhibition of cell growth and the induction of apoptosis in pancreatic cancer cells,Cancer,2006,retracted,10.1002/cncr.21904,doi,True,POINTER_ONLY,p53_apoptosis_cell_cycle,pancreatic,False,,https://doi.org/10.1002/cncr.21904,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
dca_michelakis_2010,Metabolic Modulation of Glioblastoma with Dichloroacetate,Science Translational Medicine,2010,small_human_cohort,10.1126/scitranslmed.3000677,doi,True,POINTER_ONLY,,glioma_gbm,False,,https://doi.org/10.1126/scitranslmed.3000677,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
eldeiry_kuperwasser_oncotarget_2026,COVID vaccination and post-infection cancer signals: Evaluating patterns and potential biological mechanisms,Oncotarget,2026,systematic_review,10.18632/oncotarget.28824,doi,True,VERIFIED,oxidative_stress_redox|p53_apoptosis_cell_cycle|spike_vaccine_cancer_signal|vaccine_cancer_specifically,glioma_gbm|leukemia|lymphoma|melanoma|pancreatic|sarcoma|skin_nonmelanoma,True,europepmc,https://doi.org/10.18632/oncotarget.28824,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_10097064,"Phthalascidin, a synthetic antitumor agent with potency and mode of action comparable to ecteinascidin 743",Proceedings of the National Academy of Sciences,1999,observational,10.1073/pnas.96.7.3496,doi,True,POINTER_ONLY,immune_checkpoint|oxidative_stress_redox,,True,,https://doi.org/10.1073/pnas.96.7.3496,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
epmc_med_10503166,"A placebo-controlled trial of the immune modulator, lentinan, in HIV-positive patients: a phase I/II trial.",Journal of medicine,1998,rct,10503166,pmid,True,POINTER_ONLY,herb_drug_interaction_cyp_pgp,,True,,https://europepmc.org/abstract/MED/10503166,caveat:L1_literature_index;not_medical_advice;indexed_presence_is_not_efficacy;correlation_is_not_causation
