ACTIVITY,ACTUPPER,DEFINITION,REFERENCE,USERID,CREATED,MODIFIED
5-HT-Inhibitor,5-HT-INHIBITOR,5-HT-Inhibitor,,DUKE,10-Dec-97,
5-Lipoxygenase-Inhibitor,5-LIPOXYGENASE-INHIBITOR,5-Lipoxygenase-Inhibitor,,DUKE,10-Dec-97,
?Allergenic,?ALLERGENIC,?Allergenic,,DUKE,10-Dec-97,
Abortifacient,ABORTIFACIENT,Abortifacient,,DUKE,10-Dec-97,
Absorbent,ABSORBENT,Absorbent,,DUKE,10-Dec-97,
Acantholytic,ACANTHOLYTIC,Acantholytic,,DUKE,10-Dec-97,
Acaricide,ACARICIDE,Acaricide,,DUKE,10-Dec-97,
Acarifuge,ACARIFUGE,Acarifuge,,DUKE,10-Dec-97,
ACE-Inhibitor,ACE-INHIBITOR,ACE-inhibitor,,DUKE,10-Dec-97,
Acetyl-choline-antagonist,ACETYL-CHOLINE-ANTAGONIST,Acetyl-choline-antagonist,,DUKE,10-Dec-97,
Acetylcholinergic,ACETYLCHOLINERGIC,Acetylcholinergic,,DUKE,10-Dec-97,
Acidifier,ACIDIFIER,Acidifier,,DUKE,10-Dec-97,
Acidulant,ACIDULANT,Acidulant,,DUKE,10-Dec-97,
Acnegenic,ACNEGENIC,Acnegenic,,DUKE,10-Dec-97,
ACTH-genic,ACTH-GENIC,ACTH-genic,,DUKE,10-Dec-97,
Activities similar to Sanguinarine,ACTIVITIES SIMILAR TO SANGUINARINE,Activities similar to Sanguinarine,,DUKE,10-Dec-97,
Adaptogenic,ADAPTOGENIC,Adaptogenic,,DUKE,10-Dec-97,
Addictive,ADDICTIVE,Addictive,,DUKE,10-Dec-97,
Additive,ADDITIVE,Additive,,DUKE,10-Dec-97,
Adenylate-Cyclase-Activator,ADENYLATE-CYCLASE-ACTIVATOR,Adenylate-Cyclase-Activator,,DUKE,10-Dec-97,
Adenylate-Cyclase-Activator?,ADENYLATE-CYCLASE-ACTIVATOR?,Adenylate-Cyclase-Activator?,,DUKE,10-Dec-97,
Adjuvant,ADJUVANT,Adjuvant,,DUKE,10-Dec-97,
Adrenalin-Pressor,ADRENALIN-PRESSOR,Adrenalin-Pressor,,DUKE,10-Dec-97,
Adrenalytic,ADRENALYTIC,Adrenalytic,,DUKE,10-Dec-97,
Adrenergic,ADRENERGIC,Adrenergic,,DUKE,10-Dec-97,
Adrenergic-Blocker,ADRENERGIC-BLOCKER,Adrenergic-Blocker,,DUKE,10-Dec-97,
Adrenocortical-Stimulant,ADRENOCORTICAL-STIMULANT,Adrenocortical-Stimulant,,DUKE,10-Dec-97,
Adrenocorticotrophic,ADRENOCORTICOTROPHIC,Adrenocorticotrophic,,DUKE,10-Dec-97,
Adrenocorticotropic,ADRENOCORTICOTROPIC,Adrenocorticotropic,,DUKE,10-Dec-97,
Adrenolitic,ADRENOLITIC,Adrenolitic,,DUKE,10-Dec-97,
Adrenolytic,ADRENOLYTIC,Adrenolytic,,DUKE,10-Dec-97,
Adrenostimulant,ADRENOSTIMULANT,Adrenostimulant,,DUKE,10-Dec-97,
Aedifuge,AEDIFUGE,Aedifuge,,DUKE,10-Dec-97,
Aggregant,AGGREGANT,Aggregant,,DUKE,10-Dec-97,
Aldose-Reductase-Inhibitor,ALDOSE-REDUCTASE-INHIBITOR,Aldose-Reductase-Inhibitor,,DUKE,10-Dec-97,
Algicide,ALGICIDE,Algicide,,DUKE,10-Dec-97,
Algistat,ALGISTAT,Algistat,,DUKE,10-Dec-97,
Algogenic (pain-causing),ALGOGENIC (PAIN-CAUSING),Algogenic (pain-causing),,DUKE,10-Dec-97,
Allelochemic,ALLELOCHEMIC,Allelochemic,,DUKE,10-Dec-97,
Allelopathic,ALLELOPATHIC,Allelopathic,,DUKE,10-Dec-97,
Allergenic,ALLERGENIC,Allergenic,,DUKE,10-Dec-97,
Allergenic?,ALLERGENIC?,Allergenic?,,DUKE,10-Dec-97,
Allergic,ALLERGIC,Allergic,,DUKE,10-Dec-97,
Alzheimerigenic,ALZHEIMERIGENIC,Alzheimerigenic,,DUKE,10-Dec-97,
Amebicide,AMEBICIDE,Amebicide,,DUKE,10-Dec-97,
Ametic,AMETIC,Ametic,,DUKE,10-Dec-97,
Amnesigenic,AMNESIGENIC,Amnesigenic,,DUKE,10-Dec-97,
Amphetaminagenic,AMPHETAMINAGENIC,Amphetaminagenic,,DUKE,10-Dec-97,
Amphicholeretic,AMPHICHOLERETIC,Amphicholeretic,,DUKE,10-Dec-97,
