CHEM,CHEMID,CASNUM,TODAY,INITIALS,USERID,CREATED,MODIFIED
"(++)-CURINE-4'-METHYL-ETHER","++CURINE4METHYLETHER","","","","DUKE","10-DEC-97",""
"(+)-12-FORMYLOXYCORYNOLINE","+12FORMYLOXYCORYNOLINE","","","","DUKE","10-DEC-97",""
"(+)-12-HYDROXYCORYNOLINE","+12HYDROXYCORYNOLINE","55739690","","","DUKE","10-DEC-97",""
"(+)-1-HYDROXYPINORESINOL-4.4'-GLUCOPYRANOSIDE","+1HYDROXYPINORESINOL44GLUCOPYRANOSIDE","","","","DUKE","10-DEC-97",""
"(+)-(1S,10R)-1,10-DIMETHYLBICYCLO(4.4.0)-DEC-6-EN-3-ONE","+1S10R110DIMETHYLBICYCLO44DEC6EN3ONE","","","","DUKE","10-DEC-97",""
"(+)-3-HYDROXY-9-METHOXYPTEROCARPAN","+3HYDROXY9METHOXYPTEROCARPAN","","","","DUKE","10-DEC-97",""
"(+)-3-THUJONE","+3THUJONE","","","","DUKE","10-DEC-97",""
"(.+-.)-5,2'-DIHYDROXY-6,7,6'-TRIMETHOXYFLAVONONE","+52DIHYDROXY676TRIMETHOXYFLAVONONE","","","","DUKE","10-DEC-97",""
"(.+-.)-5,2'-DIHYDROXY-7,8,6'-TRIMETHOXYFLAVANONE","+52DIHYDROXY786TRIMETHOXYFLAVANONE","","","","DUKE","10-DEC-97",""
"(+)-6-ACETYLCORYNOLINE","+6ACETYLCORYNOLINE","","","","DUKE","10-DEC-97",""
"(+)-6-ISO-PROPENYL-4,8-ALPHA-DIMETHYL-4-ALPHA-(R)-5,6-(R)-7,8,8-ALPHA(R)-HEXAHYDRO-2-(1H)NAPTHALENONE","+6ISOPROPENYL48ALPHADIMETHYL4ALPHAR56R788ALPHARHEXAHYDRO21HNAPTHALENONE","","","","DUKE","10-DEC-97",""
"(+)-7-ISOJASMONIC-ACID","+7ISOJASMONICACID","","","","DUKE","10-DEC-97",""
"(+)-8-16-BETA-HYDROXYBERSALDEGENIN-1,3,5-ORTHOACETATE","+816BETAHYDROXYBERSALDEGENIN135ORTHOACETATE","","","","DUKE","10-DEC-97",""
"(+)-8,9-DIDEHYDRO-ALPHA-VETIVONE","+89DIDEHYDROALPHAVETIVONE","","","","DUKE","10-DEC-97",""
"(+)-8,9-DIDEHYDRO-NOOTKATONE","+89DIDEHYDRONOOTKATONE","","","","DUKE","10-DEC-97",""
"(+)-8-ACETOXY-CARVONE","+8ACETOXYCARVONE","","","","DUKE","10-DEC-97",""
"(+)-8HYDROXYCALAMENENE","+8HYDROXYCALAMENENE","","","","DUKE","10-DEC-97",""
"(+)-ABRINE","+ABRINE","","","","DUKE","10-DEC-97",""
"(+)-ABSCISIC-ACID","+ABSCISICACID","21293298","","","DUKE","10-DEC-97",""
"(+)-ABSCISSIC-ACID","+ABSCISSICACID","","","","DUKE","10-DEC-97",""
"(+)-ACETYLCEPHALOTAXINE","+ACETYLCEPHALOTAXINE","","","","DUKE","10-DEC-97",""
"(+)-ACETYLCORYNOLINE","+ACETYLCORYNOLINE","","","","DUKE","10-DEC-97",""
"(+)-ACETYLISOCORYNOLINE","+ACETYLISOCORYNOLINE","","","","DUKE","10-DEC-97",""
"(+)-AFZELICHIN","+AFZELICHIN","","","","DUKE","10-DEC-97",""
"(+)-ALPHA-CYPERONE","+ALPHACYPERONE","","","","DUKE","10-DEC-97",""
"(+)-ALPHA-PINENE","+ALPHAPINENE","","","","DUKE","10-DEC-97",""
"(+)-ALPHA-VETIVONE","+ALPHAVETIVONE","","","","DUKE","10-DEC-97",""
"(+)-ALPHA-VINIFERIN","+ALPHAVINIFERIN","","","","DUKE","10-DEC-97",""
"(+)-AURAPTENAL","+AURAPTENAL","","","","DUKE","10-DEC-97",""
"(+)-CADINENE","+CADINENE","","","","DUKE","10-DEC-97",""
"(+)-CALAMUSENONE","+CALAMUSENONE","","","","DUKE","10-DEC-97",""
"(+)-CAMPHENE","+CAMPHENE","79925","","","DUKE","10-DEC-97",""
"(+)-CAMPHOR","+CAMPHOR","76222","","","DUKE","10-DEC-97",""
"(+)-CARVONE","+CARVONE","","","","DUKE","10-DEC-97",""
"(+)-CATECHIN","+CATECHIN","","","","DUKE","10-DEC-97",""
"(+)-CATECHIN-3-O-ALPHA-L-RHAMNOPYRANOSIDE","+CATECHIN3OALPHALRHAMNOPYRANOSIDE","","","","DUKE","10-DEC-97",""
"(+)-CATECHIN-3-RHAMNOSIDE","+CATECHIN3RHAMNOSIDE","","","","DUKE","10-DEC-97",""
"(+)-CATECHIN-5-O-GLUCOSIDE","+CATECHIN5OGLUCOSIDE","","","","DUKE","10-DEC-97",""
"(+)-CATECHIN-7-L-ARABINOSIDE","+CATECHIN7LARABINOSIDE","","","","DUKE","10-DEC-97",""
"(+)-CATECHOL","+CATECHOL","","","","DUKE","10-DEC-97",""
"(+)-CIS-ABSCISIC-ACID","+CISABSCISICACID","","","","DUKE","10-DEC-97",""
"(+)-CITRONELLAL","+CITRONELLAL","","","","DUKE","10-DEC-97",""
"(+)-CITRONELLOL","+CITRONELLOL","","","","DUKE","10-DEC-97",""
"(+)-CORYDINE","+CORYDINE","476697","","","DUKE","10-DEC-97",""
"(+)-CORYNOLINE","+CORYNOLINE","18797790","","","DUKE","10-DEC-97",""
"(+)-CORYNOLOXINE","+CORYNOLOXINE","31470652","","","DUKE","10-DEC-97",""
"(+)-CORYTUBERINE","+CORYTUBERINE","","","","DUKE","10-DEC-97",""
"(+)-CURINE","+CURINE","436055","","","DUKE","10-DEC-97",""
"(+)-CYANIDANOL-3","+CYANIDANOL3","","","","DUKE","10-DEC-97",""
