ETHNO,ACTIVITY,GENUS,SPECIES,SPAUT,SPRANK,SPXNAM,SPXAUT,FAMILY,CNAME,COUNTRY,REFERENCE,LONGREF,EFFECTIVE,TAXON,TAXAUTHOR,USERID,CREATED,MODIFIED
"1","Abcess","Achillea","millefolium","","","","","Asteraceae","","","Uphof","","","Achillea millefolium","","DUKE","02-FEB-98",""
"2","Abcess","Castilla","elastica","","","","","Moraceae","","Mexico","Standley","","","Castilla elastica","","DUKE","02-FEB-98",""
"3","Abcess","Pistia","stratiotes","","","","","Araceae","","Elsewhere","Duke,1972","","","Pistia stratiotes","","DUKE","02-FEB-98",""
"4","Abdomen","Achillea","sibirica","","","","","Asteraceae","","China","Hunan","","","Achillea sibirica","","DUKE","02-FEB-98",""
"5","Abdomen","Adenia","lobata","","","","","Passifloraceae","","Upper Volta","Ayensu","","","Adenia lobata","","DUKE","02-FEB-98",""
"6","Abdomen","Aegle","marmelos","","","","","Rutaceae","","India(Santal)","Eb24: 243","","","Aegle marmelos","","DUKE","02-FEB-98",""
"7","Abdomen","Afzelia","africana","","","","","Fabaceae","","Upper Volta","Ayensu","","","Afzelia africana","","DUKE","02-FEB-98",""
"8","Abdomen","Ageratum","conyzoides","","","","","Asteraceae","","Africa","Ayensu","","","Ageratum conyzoides","","DUKE","02-FEB-98",""
"9","Abdomen","Agrimonia","pilosa","","","","","Rosaceae","","China","Hunan","","","Agrimonia pilosa","","DUKE","02-FEB-98",""
"10","Abdomen","Ailanthus","fauveliana","","","","","Simaroubaceae","","","Uphof","","","Ailanthus fauveliana","","DUKE","02-FEB-98",""
"11","Abdomen","Alchornea","cordifolia","","","","","Euphorbiaceae","","Upper Volta","Ayensu","","","Alchornea cordifolia","","DUKE","02-FEB-98",""
"12","Abdomen","Allophylus","sp","","","","","Sapindaceae","","Philippines","Altschul","","","Allophylus sp","","DUKE","02-FEB-98",""
"13","Abdomen","Alternanthera","repens","","","","","Amaranthaceae","","Ghana","Ayensu","","","Alternanthera repens","","DUKE","02-FEB-98",""
"14","Abdomen","Amaranthus","viridis","","","","","Amaranthaceae","","Venezuela","Pittier","","","Amaranthus viridis","","DUKE","02-FEB-98",""
"15","Abdomen","Amomum","costatum","","","","","Zingiberaceae","","China","Hunan","","","Amomum costatum","","DUKE","02-FEB-98",""
"16","Abdomen","Anemone","cernua","","","","","Ranunculaceae","Pai T'Ou Weng","China","Bliss","","","Anemone cernua","","DUKE","02-FEB-98",""
"17","Abdomen","Anotis","hirsuta","","","","","","","Java","Uphof","","","Anotis hirsuta","","DUKE","02-FEB-98",""
"18","Abdomen","Aquilaria","agallocha","","","","","Thymelaeaceae","","China","Hunan","","","Aquilaria agallocha","","DUKE","02-FEB-98",""
"19","Abdomen","Aristolochia","bracteata","","","","","Aristolochiaceae","","Sudan","Broun","","","Aristolochia bracteata","","DUKE","02-FEB-98",""
"20","Abdomen","Aristolochia","debilis","","","","","Aristolochiaceae","","China","Hunan","","","Aristolochia debilis","","DUKE","02-FEB-98",""
"21","Abdomen","Artemisia","apiacea","","","","","Asteraceae","","China","Hunan","","","Artemisia apiacea","","DUKE","02-FEB-98",""
"22","Abdomen","Asarum","canadense","","","","","Aristolochiaceae","","US(Cherokee)","Uphof","","","Asarum canadense","","DUKE","02-FEB-98",""
"23","Abdomen","Aspidistra","elatior","","","","","Liliaceae","","China","Hunan","","","Aspidistra elatior","","DUKE","02-FEB-98",""
"24","Abdomen","Atractylis","ovata","","","","","Asteraceae","","China","Hunan","","","Atractylis ovata","","DUKE","02-FEB-98",""
"25","Abdomen","Boerhaavia","diffusa","","","","","Nyctaginaceae","","India(Santal)","Eb24: 246","","","Boerhaavia diffusa","","DUKE","02-FEB-98",""
"26","Abdomen","Lindernia","veronicaefolia","","","","","Scrophulariaceae","","India(Santal)","Eb24: 246","","","Lindernia veronicaefolia","","DUKE","02-FEB-98",""
"27","Abdomen","Bupleurum","falcatum","","","","","Apiaceae","Ch'Ai Hu","China","Bliss","","","Bupleurum falcatum","","DUKE","02-FEB-98",""
"28","Abdomen","Bupleurum","octoradiatum","","","","","Apiaceae","Tz'U Hu","China","Bliss","","","Bupleurum octoradiatum","","DUKE","02-FEB-98",""
"29","Abdomen","Cajanus","cajan","","","","","Fabaceae","","Malaya","Eb22: 98","","","Cajanus cajan","","DUKE","02-FEB-98",""
"30","Abdomen","Calamus","draco","","","","","Arecaceae","","China","Hunan","","","Calamus draco","","DUKE","02-FEB-98",""
"31","Abdomen","Callicarpa","cana","","","","","Lamiaceae","","Elsewhere","Woi.2","","","Callicarpa cana","","DUKE","02-FEB-98",""
"32","Abdomen","Canthium","monstrosum","","","","","Rubiaceae","","Philippines","Altschul","","","Canthium monstrosum","","DUKE","02-FEB-98",""
"33","Abdomen","Carpesium","divaricatum","","","","","Asteraceae","","China","Hunan","","","Carpesium divaricatum","","DUKE","02-FEB-98",""
"34","Abdomen","Celosia","cristata","L.","","","","Amaranthaceae","Boenga tali","Java","Burkill,1966","","","Celosia cristata","L.","DUKE","02-FEB-98",""
"35","Abdomen","Cinnamomum","cambodianum","","","","","Lauraceae","","Elsewhere","Uphof","","","Cinnamomum cambodianum","","DUKE","02-FEB-98",""
"36","Abdomen","Cinnamomum","camphora","","","","","Lauraceae","","China","Hunan","","","Cinnamomum camphora","","DUKE","02-FEB-98",""
"37","Abdomen","Cissus","rubiginosa","","","","","Vitaceae","","Elsewhere","Uphof","","","Cissus rubiginosa","","DUKE","02-FEB-98",""
"38","Abdomen","Citrus","aurantium","","","","","Rutaceae","","China","Nas","","","Citrus aurantium","","DUKE","02-FEB-98",""
"39","Abdomen","Citrus","sinensis","","","","","Rutaceae","","China","Hunan","","","Citrus sinensis","","DUKE","02-FEB-98",""
"40","Abdomen","Cleome","brachycarpa","","","","","Capparaceae","","Elsewhere","Uphof","","","Cleome brachycarpa","","DUKE","02-FEB-98",""
"41","Abdomen","Corydalis","ternata","","","","","Papaveraceae","","China","Hunan","","","Corydalis ternata","","DUKE","02-FEB-98",""
"42","Abdomen","Cryptocoryne","spiralis","","","","","Araceae","","Sri Lanka","Woi.2","","","Cryptocoryne spiralis","","DUKE","02-FEB-98",""
"43","Abdomen","Curcuma","domestica?","","","","","Zingiberaceae","","China","Hunan","","","Curcuma domestica?","","DUKE","02-FEB-98",""
"44","Abdomen","Cyperus","rotundus","","","","","Cyperaceae","","China","Hunan","","","Cyperus rotundus","","DUKE","02-FEB-98",""
"45","Abdomen","Desmodium","heterophyllum","","","","","Fabaceae","","Elsewhere","Woi.3","","","Desmodium heterophyllum","","DUKE","02-FEB-98",""
"46","Abdomen","Dialium","guineense","","","","","Fabaceae","","Africa","Ayensu","","","Dialium guineense","","DUKE","02-FEB-98",""
"47","Abdomen","Dichroa","febrifuga","LOUR.","","","","Hydrangeaceae","Tataroeman","Java","Burkill,1966","","","Dichroa febrifuga","LOUR.","DUKE","02-FEB-98",""
"48","Abdomen","Elatostema","sessile","","","","","Urticaceae","","Malaysia","Woi.3","","","Elatostema sessile","","DUKE","02-FEB-98",""
"49","Abdomen","Elastostemma","sessile","FORST.","","","","","Sisek tenggiling (Anteater..)","Pahang","Burkill,1966","","","Elastostemma sessile","FORST.","DUKE","02-FEB-98",""
