FNFNUM,CHEM,PPCO,INDIVIDUAL,REFERENCE,ASSAY,AMT_PLUS,AMT_LO,AMT_OR_HI,WEIGHTED,COMPARISON,TRACE,LESSTHAN,EOPCT_LO,EOPCT_OR_HI,REFYR,NAPREF,USERID,CREATED,MODIFIED
"1","12,13-EPOXYOLEIC-ACID","SD","0","","#1","","","","","","","","","","","","DUKE","10-DEC-97",""
"1","9-HEXADECENOIC-ACID","SD","0","","#1","","","","","","","","","","","","DUKE","10-DEC-97",""
"1","ALANINE","FR","0","","#1","7300","730","7300","","","","","","","","","DUKE","10-DEC-97",""
"1","ALPHA-TOCOPHEROL","OL","0","","#1","310","","310","620","","","","","","","","DUKE","10-DEC-97",""
"1","ARGININE","FR","0","","#1","8450","840","8450","","","","","","","","","DUKE","10-DEC-97",""
"1","ASCORBIC-ACID","PL","0","","#1","2340","190","2340","","","","","","","","","DUKE","10-DEC-97",""
"1","ASH","FR","0","","#1","70000","7000","70000","","","","","","","","","DUKE","10-DEC-97",""
"1","ASH","SD","0","","#1","47400","","47400","","","","","","","","","DUKE","10-DEC-97",""
"1","ASPARTIC-ACID","FR","0","","#1","14820","1450","14820","","","","","","","","","DUKE","10-DEC-97",""
"1","CALCIUM","FR","0","","#1","8100","810","8100","","","","","","","","","DUKE","10-DEC-97",""
"1","CALCIUM","SD","0","","#1","2100","","2100","","","","","","","","","DUKE","10-DEC-97",""
"1","CARBOHYDRATES","FR","0","","#1","760000","76300","760000","","","","","","","","","DUKE","10-DEC-97",""
"1","COPPER","FR","0","","#1","9","1","9","","","","","","","","","DUKE","10-DEC-97",""
"1","CYANIDIN-3-GLUCOSIDE-4'-GLUCOSIDE","FL","0","","#1","","","","","","","","","","","","DUKE","10-DEC-97",""
"1","CYANIDIN-4'-GLUCOSIDE","FL","0","","#1","","","","","","","","","","","","DUKE","10-DEC-97",""
"1","CYSTINE","FR","0","","#1","1900","180","1900","","","","","","","","","DUKE","10-DEC-97",""
"1","FAT","FR","0","","#1","10000","1000","10000","","","","","","","","","DUKE","10-DEC-97",""
"1","FAT","SD","0","","#1","220000","160000","220000","","","","","","","","","DUKE","10-DEC-97",""
"1","FIBER","FR","0","","#1","94000","9400","94000","","","","","","","","","DUKE","10-DEC-97",""
"1","FIBER","SD","0","","#1","210200","","210200","","","","","","","","","DUKE","10-DEC-97",""
"1","FOLACIN","FR","0","","#1","10",".7","10","","","","","","","","","DUKE","10-DEC-97",""
"1","GAMMA-TOCOPHEROL","OL","0","","#1","430","","430","","","","","","","","","DUKE","10-DEC-97",""
"1","GLUTAMIC-ACID","FR","0","","#1","27100","2710","27100","","","","","","","","","DUKE","10-DEC-97",""
"1","GLYCINE","FR","0","","#1","4400","440","4400","","","","","","","","","DUKE","10-DEC-97",""
"1","GOSSYPETIN","FL","0","","#1","","","","","","","","","","","","DUKE","10-DEC-97",""
"1","GOSSYPOL","SD","0","","#1","70","","70","","","","","","","","","DUKE","10-DEC-97",""
"1","HISTIDINE","FR","0","","#1","3100","310","3100","","","","","","","","","DUKE","10-DEC-97",""
"1","IRON","FR","0","","#1","150","8","150","","","","","","","","","DUKE","10-DEC-97",""
"1","ISOLEUCINE","FR","0","","#1","6900","550","6900","","","","","","","","","DUKE","10-DEC-97",""
"1","KILOCALORIES","FR","0","","#1","3800","180","3800","","","","","","","","","DUKE","10-DEC-97",""
"1","LEUCINE","FR","0","","#1","10500","1050","10500","","","","","","","","","DUKE","10-DEC-97",""
"1","LINOLEIC-ACID","SD","0","","#1","44790","32575","44790","","","","","","","","","DUKE","10-DEC-97",""
"1","LYSINE","FR","0","","#1","8100","810","8100","","","","","","","","","DUKE","10-DEC-97",""
"1","MAGNESIUM","FR","0","","#1","6000","380","6000","","","","","","","","","DUKE","10-DEC-97",""
"1","MANGANESE","FR","0","","#1","100","10","100","","","","","","","","","DUKE","10-DEC-97",""
"1","METHIONINE","FR","0","","#1","2100","210","2100","","","","","","","","","DUKE","10-DEC-97",""
"1","MUFA","FR","0","","#1","1700","170","1700","","","","","","","","","DUKE","10-DEC-97",""
"1","MYRISTIC-ACID","SD","0","","#1","1540","1120","1540","","","","","","","","","DUKE","10-DEC-97",""
"1","NIACIN","FR","0","","#1","100","10","100","","","","","","","","","DUKE","10-DEC-97",""
"1","OLEIC-ACID","SD","0","","#1","100190","72864","100190","","","","","","","","","DUKE","10-DEC-97",""
"1","OXALIC-ACID","FR","0","","#1","103","","103","","","","","","","","","DUKE","10-DEC-97",""
"1","PALMITIC-ACID","SD","0","","#1","46640","33920","46640","","","","","","","","","DUKE","10-DEC-97",""
"1","PANTOTHENIC-ACID","FR","0","","#1","24","2","24","","","","","","","","","DUKE","10-DEC-97",""
"1","PECTIN","FR","0","","#1","","","","","","","","","","","","DUKE","10-DEC-97",""
"1","PECTIN","SD","0","","#1","21500","","21500","","","","","","","","","DUKE","10-DEC-97",""
"1","PENTOSANS","SD","0","","#1","142700","","142700","","","","","","","","","DUKE","10-DEC-97",""
"1","PHENYALANINE","FR","0","","#1","6500","650","6500","","","","","","","","","DUKE","10-DEC-97",""
"1","PHOSPHORUS","FR","0","","#1","6300","630","6300","","","","","","","","","DUKE","10-DEC-97",""
"1","PHOSPHORUS","SD","0","","#1","7900","","7900","","","","","","","","","DUKE","10-DEC-97",""
