REFERENCE,LONGREF,NOTE,USERID,CREATED,MODIFIED
1,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122.",Assumes 1% EO,DUKE,10-Dec-97,16-Jan-99
15,Jim Duke's personal files.,,DUKE,10-Dec-97,
25th,25 Dispensatory,,DUKE,10-Dec-97,
356,"Grainge, M. and Ahmed, S., Handbook of Plants with Pest-Control Properties, John Wiley & Sons, New York, NY, 1988, 470.","Author list various compounds as active principle, thus leading me to enter all the aconitine alkaloids, e.g, as insecticidal, though authors do not specifically say that all are insecticidal.",DUKE,10-Dec-97,
382,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990.",,DUKE,10-Dec-97,
411,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,DUKE,10-Dec-97,
438,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp.",,DUKE,10-Dec-97,
450,"Russell, G. B., Phytochemical resources for crop protection, N. Z. J. Technol., 2, 1986, 127-134.",,DUKE,10-Dec-97,
451,"Osawa, K., Matsumoto, T., Maruyama, T., Takiguchi, T., Okuda, K., and Takazoe, I., Studies of the antibacterial activity of plant extracts and their constituents against periodontopathic bacteria, Bull Tokyo Dent. Coll., 31 (1), 1990, 17-21",,DUKE,10-Dec-97,
452,"Recio, M. C., Rios, J. L., and Villar, A., A review of some antimicrobial compounds isolated from medicinal plants reported in the literature 1978-1988, Phytotherapy Research, 3(4), 1989, 117-125.",,DUKE,10-Dec-97,
453,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8.",,DUKE,10-Dec-97,
454,"Berenbaum, M. R., The natives knew, Chemtech, (May), 1990, 275-279.",,DUKE,10-Dec-97,
455,"Hanke, F. J., Natural Products as a Resource for Biologically Active Compounds, Thesis, U. Cal (Santa Cruz), 1986, 252 pp",,DUKE,10-Dec-97,
456,"Bonness, M. S., Promising new drugs from plants: poisons that heal, Herbarist, #56, 1990, 59-68",,DUKE,10-Dec-97,
457,"Izadoost, M. & Robinson, T., Synergism & antagonism in the pharmacology of alkaloidal plants, pp 137-58 in Craker, L. & Simon, J., eds., Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture & Pharmacology, v. 2, 1987, 255pp.",,DUKE,10-Dec-97,
458,"Bedows, E. and Hatfield, G. M. An investigation of the antiviral activity of Podophyllum peltatum, J. Nat. Prod., 45(6), 1982, 725-9.",,DUKE,10-Dec-97,
478,"Rupprect, J. K., Hui, Y. H., and McLaughlin, J. L., Annonaceous acetogenins: a review, J. Nat. Prod, 53(2), 1990, 237-238.",,DUKE,10-Dec-97,
481,"Alkofahi, A., Rupprect, J. K., Anderson, J. E., McLaughlin, J. L., Mikolajczak, K. L., and Scott, B. A., Search for new pesticides from higer plants, Chap. 3 in ???, Arnason et al, eds, ACS, Washington, 1989",,DUKE,10-Dec-97,
50,"de Vries, D. J. and Blumberg, P. M., Thermoregulatory effects of resiniferatoxin in the mouse: comparison with capsaicin, Life Sciences, 44, 1989, 711-715.",,DUKE,10-Dec-97,
5001,"V. Kaul, P. Weyerstahl, H. Wahlberg, H. Marschall, (1992); Volatile constituents of the essential oil and the absolute of Aremisia salsoloides Willd. from Ladakh,Flavour and Fragrance journal, Vol.7, 299-305.",,DUKE,10-Dec-97,
5002,"J.M. Bessiere, J.R. Kuiate, P.H. Amvam Zollo, C.Menut, G. Lamaty,(1993);Aromatic plants of tropical central Africa.Part X* chemical composition of the essential oils of Ageratum houstonianum Mill. and Ageratum conyzoides L. from Cameroon, Flavour and Frag","Flavour Frag. J., vol.8,1-4",DUKE,10-Dec-97,
5003,"K.H.C. Baser, T. Ozek, M. Kurkcuoglu, M.A. Villanueva, R.C. Torres, (1993); The composition of Manila Elemi oil, Flavour Fragr. J., Vol.8,35-37",,DUKE,10-Dec-97,
5004,"G. Goldsack, J.J. Brophy, R.J. Goldsack,(1993); The essential oils of the Myrtaceae of Lord Howe Island,Flavour  Fragr. J., Vol.8, 153-159.",,DUKE,10-Dec-97,
5005,"R. Vera, (1993); Chemical composition of the essential oil Ageratum conyzoides L. (Asteraceae) from Reunion, Flavour Fragr. J., Vol.8, 257-260.",,DUKE,10-Dec-97,
5006,"I. Laakso, T.O.E. Ekpendu, A.A. Adesomoju, O. Eundayo, J. I. Okogun, (1993); Constituents of the volatile oil of Mitracarpus scaber Zucc., Flavour Fragr. J., Vol 8, 269-271.",,DUKE,10-Dec-97,
5007,"L.A. Espinar, N.R. Grosso, J.A. Zygadlo, R.E. Abburra, D.M. Maestri, C.A. Guzman, (1993); Essential oil composition of Tagetes terniflora H.B.K. and Tagetes laxa Cabrera, Flavour Fragr. J., Vol 8,273-275.",,DUKE,10-Dec-97,
5008,"P. Rapisarda, A. Starrantino, M Piatteli, G. Ruberto, D. Biondi, (1993); Profiles of essential oils of new Citrus hybrids, Flavour Fragr. J., Vol 8,179-184.",,DUKE,10-Dec-97,
5009,"K. Furukawa, T. Arai, S. Hashimoto, (1993); Volatile components of Telosma cordata Merrill flowers, Flavour Fragr. J., Vol 8, 221-223.",,DUKE,10-Dec-97,
5010,"A. Rustaiyan, P. Weyerstahl, S. Schneider, H. Marschall, (1993), The essential oil Artemisia sieberi Bess. Flav. Fragr. J., vol 8, 139-145",,DUKE,10-Dec-97,
505,Jim Duke's personal files.,,DUKE,10-Dec-97,
508,"Yamahara, J., Matsuda, H., Murakami, H., and Fujimura, H., The active principle of Alismatis rhizoma which inhibits contractile responses in aorta, Chem & Pharm. Bull, 34(10),1986, 4422-4.",,DUKE,10-Dec-97,
51,"Vieira, P. C. and Kubo, I., Molluscicidal quinoline alkaloids from Galipea bracteata, Phytochemistry, 29 (3), 1990, 813-5.",,DUKE,10-Dec-97,
52,"Cooper-Driver, G. A., Chemical substances in plants toxic to animals,  pp. 213-47 in Rechcigl, M., Jr., ed. CRC Handbook of Naturally Occurring Food Toxicants, CRC Press, Boca Raton,  1983, 339 pp.",,DUKE,10-Dec-97,
525,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp.",,DUKE,10-Dec-97,5-Apr-00
526,"Collins, D.J., Culvenor, C.C.J., Lamberton, J.A., Loder, J.W. and Price, J.R., Plants for Medicines, CSIRO, East Melbourne, Australia, 1990, 303 pp.",,DUKE,10-Dec-97,
53,"Janssens, J., Laekeman, G. M., Pieters, L. A. C., Totte, J., Herman, A. & Vlietinck, A. J., Nutmeg oil identification & quantitation of its most active constituents as inhibitors of platelet aggregation, J. Ethnopharm. 29(2),1990, 1 79-188.",,DUKE,10-Dec-97,
54,"Iwu, M. M., Igboko, O. A., Okunji, C. O., and Tempesta, M. S., Antidiabetic and aldose reductase activities in biflavanones of Garcinia kola, J. Pharm Pharmacol, 42(4), 1990, 290-2.",,DUKE,10-Dec-97,
55,"Adeleye, A. and Ikotun, T.,  Antifungal activity of dihydrodiosocrine extracted from a wild variety of Dioscorea bulbifera L., J. Basic Microbiol., 29(5), 1989, 265-7.",,DUKE,10-Dec-97,
AAA,"Agents and Actions (Vol. 31, 1990)",,DUKE,10-Dec-97,27-Apr-00
AAA39:C-49,"Butenko, I.G., Gladtchenko, S.V., and Galushko, S.V. Anti-inflammatory properties and inhibition of leukotriene C4 biosynthesis in vitro by flavonoid baicalein from Scutellaria baicalensis georgy roots. Agents Actions 39: C49, 1993.",,DUKE,10-Dec-97,
AAC,Antimicrobial Agents & Chemotherapy 38(2)=1994.,,DUKE,10-Dec-97,
AAK,"Atal and Kapur, 1982",,DUKE,10-Dec-97,27-Apr-00
AAS,ACTA AGRIC SCAND SUPPL 22: 1980,,DUKE,10-Dec-97,
AAm,Acta Amazonica,,DUKE,10-Dec-97,
AB,Angewandte Botanik 68(5/6)=1994.,,DUKE,10-Dec-97,
AB68:195,Angewandte Botanik 68(5/6)=1994. Page 195.,,DUKE,10-Dec-97,
ABB,Arch Biochem Biophys (Vol. 292; 1992) ,,DUKE,10-Dec-97,
ABC,Agric. Biol. Chem.,,DUKE,10-Dec-97,
ABC53:519,"Kikuzaki, H. and Nakatani, N. 1988. Structure of a New Antioxidative Phenolic Acid from Oregano (Origanum vulgare L.). Agric. Biol. Chem. 53: 519-524.",,DUKE,10-Dec-97,
