substance,common_name,alt_names,type,mechanism,source,evidence_floor,candidate,duke_uses,gn_mechanism,gn_warning,matched_chem,duke_activities,duke_superacts,n_cousins
Glutathione,Glutathione,,,,curated,human_trial,True,,antioxidant,antioxidant_chemo_timing,GLUTATHIONE,ACE-Inhibitor;Anticytotoxic;Antidote (Heavy Metals);Antieczemic;Antihepatitic;Antioxidant;Cancer-Preventive,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Alzheimers;Angina;Anthrax;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Asthma;BPH;Bipolar;Bronchitis;Bunion;Burns;Cancer;Canker Sores;Cardiopathy/Heart Problems;Caries;Cataracts;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Cough;Crohns Disease;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diverticulitis;Dyspepsia/Indigestion;Emphysema;Fever;Fibromyalgia;Gingivitis;Glaucoma;Hangover;Hayfever;Heart Attack/Coronary Infarct;Hepatoses/Liver;Herpes;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Infarction;Intermittent Claudication;Ischemia;Jaundice;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Macular Degeneration;Maculitis;Malaria;Melanoma;Menopause;Multiple Sclerosis;Neuropathy;Ophthalmia;Parkinsons Disease;Pneumonia;Psoriasis;Sinusitis;Sore Throat / Laryngitis / Pharyngitis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Toothache;Tuberculosis;Ulcer;Varicose Veins;Wrinkles,18
Iron,Iron,,,,curated,human_trial,True,,pro_oxidant,,IRON,Antiakathisic;Antianemic;Anticanker;Anticheilitic;Antimenorrhagic;Prooxidant,AIDS/HIV;Alzheimers;Breached Birth;Canker Sores;Dysmenorrhea;Herpes;Leishmaniasis;Malaria;Premenstrual Syndrome/PMS,2
Zinc,Zinc,,,,curated,human_trial,True,,anti_inflammatory;anti_angiogenic;anti_metastatic;immune_modulating,immunotherapy_caution,ZINC,ACE-Inhibitor;Analgesic;AntiBPH;AntiCrohn's;AntiHIV;Antiacne;Antiacrodermatitic;Antialcoholic;Antialopecic;Antialzheimeran;Antiangiogenic;Antianorexic;Antiarthritic;Anticanker;Anticataract;Anticoeliac;Anticold;Anticolitic;Anticoronary;Antidandruff;Antidementia;Antidiabetic;Antidote (Cadmium);Antidysgeuzic;Antieczemic;Antiencephalopathic;Antiepileptic;Antifibrotic;Antifuruncular;Antihangover;Antiherpetic?;Antiimpotence;Antiinfective;Antiinfertility;Antiinsomniac;Antilepric;Antileukonychic;Antilymphomic;Antimaculitic;Antimetastatic;Antineuropathic;Antinyctalopic;Antiobesity;Antiosteoporotic;Antiperiodontitic;Antiplaque;Antiprolactin;Antiprostatitic;Antirheumatic;Antiseptic;Antispare-Tire;Antistomatitic;Antisyndrome-X;Antitinnitic;Antitriglyceride;Antiulcer;Antiviral?;Astringent;Collagenic;Copper-Antagonist;Deodorant;Detoxicant (Alcohol);Ergogenic;Hypotensive;Immunomodulator;Immunostimulant;Immunosuppressant;Insulinogenic;Leptingenic;Mucogenic;NF-kB-Inhibitor;Pesticide;Spermigenic;Testosteronigenic;Trichomonicide;Vulnerary,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Alzheimers;Angina;Anorexia;Anthrax;Apoplexy/Stroke;Appetite;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Arthritis;Asthma;Athletes Foot;BO (Body Odor);BPH;Backache;Bipolar;Breached Birth;Bronchitis;Bruises;Bunion;Burns;Bursitis;Cancer;Candidiasis;Canker Sores;Cardiopathy/Heart Problems;Caries;Carpal Tunnel Syndrome (CTS);Cataracts;Cellulite;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Cough;Cramp;Crohns Disease;Cystitis;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diarrhea;Diverticulitis;Dry Mouth / Xerostomia;Dysentery;Dysmenorrhea;Dyspepsia/Indigestion;Edema;Emphysema;Epilepsy;Fever;Fibromyalgia;Frigidity;Fungus/Mycosis;GERD / Esophageal Reflux;Giardia;Gingivitis;Glaucoma;Gout;Halitosis;Hangover;Hayfever;Headache;Heart Attack/Coronary Infarct;Hemorrhoids;Hepatoses/Liver;Herpes;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;IBD;Impotence;Incontinence;Infarction;Infection;Inflammation;Insect Bites / Stings;Insomnia;Intestinal Parasites;Ischemia;Itch;Kidney Stones;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Macular Degeneration;Maculitis;Malaria;Mastitis;Melanoma;Menopause;Migraine;Motion Sickness;Multiple Sclerosis;Nausea;Neuropathy;Nightmare;Obesity;Ophthalmia;Osteoporosis;Otitis/Earache;Pain;Pneumonia;Poison Ivy;Poison Oak;Poison Sumac;Premenstrual Syndrome/PMS;Prostatitis;Psoriasis;Raynauds Disease;Rheumatism;Sciatica;Sepsis;Sinusitis;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Varicose Veins;Viral Infections (Chronic);Warts;Wound;Wrinkles;Yeast Infection,30
Iodine,Iodine,,,,curated,human_trial,True,,,thyroid,IODINE,Acnegenic;Antibacterial;Antigoiter;Antiseptic;Antithyrotoxic;Antiviral;Dermatitigenic;Fungicide;Goitrogenic;Hyperthyroid;Protisticide;Thyrotropic,AIDS/HIV;Anthrax;Arteriosclerosis/Atherosclerosis;Athletes Foot;BO (Body Odor);Breached Birth;Bronchitis;Burns;Cancer;Candidiasis;Canker Sores;Caries;Chronic Fatigue Syndrome;Cold/Flu;Conjunctivitis;Cough;Crohns Disease;Cystitis;Dandruff;Decubitis;Dermatitis/Dermatoses;Diarrhea;Diverticulitis;Dysentery;Fever;Fibromyalgia;Fungus/Mycosis;Giardia;Gingivitis;Halitosis;Hepatoses/Liver;Herpes;IBD;Incontinence;Infection;Intestinal Parasites;Jaundice;Kidney Stones;Leishmaniasis;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Malaria;Mastitis;Melanoma;Multiple Sclerosis;Otitis/Earache;Pneumonia;Sepsis;Sinusitis;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Sunburn;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Viral Infections (Chronic);Warts;Wound;Yeast Infection,21
Curcumin / Turmeric,Curcumin / Turmeric,,,,curated,human_trial,True,,antioxidant;anti_inflammatory;anti_angiogenic;anti_proliferative;anti_metastatic;hormonal,antioxidant_chemo_timing;bleeding_risk;hormone_sensitive;immunotherapy_caution;photosensitizing,CURCUMIN,12-Lipoxygenase-Inhibitor;5-Alpha-Reductase-Inhibitor;5-HETE-Inhibitor;5-Lipoxygenase-Inhibitor;8-HETE-Inhibitor;AntiCrohn's;AntiEBV;AntiHIV;Antiadenomacarcinogenic;Antiaflatoxin;Antiaggregant;Antialzheimeran;Antiamyloid-Beta;Antiangiogenic;Antiarachidonate;Antiarthritic;Antiasthmatic;Antiatherosclerotic;Antibacterial;Antibronchitic;Anticancer;Anticancer (Breast);Anticancer (Colon);Anticancer (Duodenum);Anticancer (Mammary);Anticancer (Skin);Anticancer (Stomach);Anticarcinogenic;Anticataract;Anticholecystosic;Anticolitic;Anticollagenic;Antieczemic;Antiedemic;Antieicosanoid;Antihepatotic;Antiinflammatory;Antiintegrase;Antiischemic;Antileishmanic;Antileukemic;Antileukotriene;Antilipoperoxidant;Antilithic;Antilymphomic;Antimelanomic;Antimetastatic;Antimutagenic;Antinitrosaminic;Antioxidant;Antipapillomic;Antiperoxidant;Antiproliferant;Antiprostaglandin;Antipsoriatic;Antispasmodic;Antithrombotic;Antithromboxane;Antitumor;Antitumor (Colon);Antitumor (Liver);Antitumor-Promoter;Antiulcer;Antiviral;Apoptotic;COX-2-Inhibitor;Cancer-Preventive;Cardiodepressant;Chelator;Chemopreventive;Cholagogue;Choleretic;Cyclooxygenase-Inhibitor;Cytochrome-P450-Inhibitor;Cytotoxic;DNA-Protective;Deodorant;Detoxicant;Dye;Expectorant;Fibrinolytic;Fungicide;Glutathionigenic;Hepatoprotective;Hypocholesterolemic;Hypolipidemic;Hypotensive;IKB-kinase-Inhibitor;IKK-Inhibitor;IkappaB-alpha-Phosphorylation-Inhibitor;Immunostimulant;Lipase-Inducer;Litholytic;MDR-Inhibitor;MMP-9-Inhibitor;Maltase-Promoter;Metal-Chelator;Mucogenic;NF-kB-Inhibitor;NO-Inhibitor;NO-Scavenger;Nematicide;Neuroprotective;Ornithine-Decarboxylase-Inhibitor;P450-Inhibitor;PGE2-Inhibitor;PTK-Inhibitor;Pesticide;Phototoxic;Plasmodicide;Prostaglandin-Synthesis-Inhibitor;Protease-Inhibitor;Protein-Kinase-C-Inhibitor;Protein-Kinase-Inhibitor;Pulmonoprotective;Quinone-Reductase-Inducer;Radioprotective;Sortase-A-Inhibitor;Sucrase-Promoter;TNF-Inhibitor;Topoisomerase-I-Inhibitor;Topoisomerase-II-Inhibitor;Ulcerogenic;VEGF-Inhibitor,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Altitude Sickness;Alzheimers;Angina;Anthrax;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Arthritis;Asthma;Athletes Foot;BO (Body Odor);BPH;Backache;Bipolar;Breached Birth;Bronchitis;Bruises;Bunion;Burns;Bursitis;Cancer;Candidiasis;Canker Sores;Cardiopathy/Heart Problems;Caries;Carpal Tunnel Syndrome (CTS);Cataracts;Cellulite;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Conjunctivitis;Constipation;Cough;Cramp;Crohns Disease;Cystitis;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diarrhea;Diverticulitis;Dry Mouth / Xerostomia;Dysentery;Dysmenorrhea;Dyspepsia/Indigestion;Edema;Emphysema;Epilepsy;Fever;Fibromyalgia;Frigidity;Fungus/Mycosis;GERD / Esophageal Reflux;Giardia;Gingivitis;Glaucoma;Gout;Halitosis;Hangover;Hayfever;Headache;Heart Attack/Coronary Infarct;Hemorrhoids;Hepatoses/Liver;Herpes;Hiccups;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Impotence;Incontinence;Infarction;Infection;Inflammation;Insect Bites / Stings;Intermittent Claudication;Intestinal Parasites;Ischemia;Itch;Jaundice;Kidney Stones;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Macular Degeneration;Maculitis;Malaria;Mastitis;Melanoma;Menopause;Migraine;Multiple Sclerosis;Neuropathy;Obesity;Ophthalmia;Otitis/Earache;Pain;Parkinsons Disease;Pneumonia;Poison Ivy;Poison Oak;Poison Sumac;Premenstrual Syndrome/PMS;Prostatitis;Psoriasis;Raynauds Disease;Rheumatism;Sciatica;Sepsis;Sinusitis;Snakebite;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Varicose Veins;Viral Infections (Chronic);Warts;Wound;Wrinkles;Yeast Infection,31
Folate,Folate,,,,curated,human_trial,True,,,,,,,0
Chitosan,Chitosan,,,,curated,human_trial,True,,,,,,,0
Quercetin,Quercetin,,,,curated,human_trial,True,,antioxidant;anti_inflammatory;anti_angiogenic;anti_proliferative;anti_metastatic;immune_modulating;hormonal,antioxidant_chemo_timing;hepatic;hormone_sensitive,QUERCETIN,11B-HSD-Inhibitor;5-Lipoxygenase-Inhibitor;ATPase-Inhibitor;Aldehyde-Oxidase-Inhibitor;Aldose-Reductase-Inhibitor;Allelochemic;Allergenic;Analgesic;AntiCrohn's;AntiGTF;AntiHIV;AntiPMS;Antiaflatoxin;Antiaggregant;Antiaging;Antiallergic;Antialzheimeran;Antianaphylactic;Antiangiogenic;Antiarthritic;Antiasthmatic;Antiatherosclerotic;Antibacterial;Anticarcinomic (Breast);Anticariogenic;Anticataract;Anticolitic;Anticomplementary;Anticystitic;Antidepressant;Antidermatitic;Antidiabetic;Antielastase;Antiencephalitic;Antiescherichic;Antiestrogenic;Antifeedant;Antifibrosarcomic;Antiflu;Antigastric;Antigonadotropic;Antihepatotoxic;Antiherpetic;Antihistaminic;Antihydrophobic;Antihypertensive;Antiinflammatory;Antileishmanic;Antileukemic;Antileukotriene;Antilipoperoxidant;Antimalarial;Antimelanomic;Antimetastatic;Antimutagenic;Antimyocarditic;Antinitrosaminic;Antinociceptive;Antioxidant;Antipancreatitic;Antiperiodontal;Antiperistaltic;Antipermeability;Antiperoxidant;Antipharyngitic;Antiplaque;Antiplasmodial;Antipodriac;Antipolio;Antiproliferant;Antiprostanoid;Antiprostatitic;Antipsoriac;Antiradicular;Antispasmodic;Antistreptococcic;Antithiamin;Antithrombic;Antitrypanosomic;Antitumor;Antitumor (Bladder);Antitumor (Breast);Antitumor (Colon);Antitumor (Lung);Antitumor (Ovary);Antitumor (Skin);Antitumor-Promoter;Antiulcer;Antiviral;Apoptotic;Bacteristat;Bradycardiac;COMT-Inhibitor;COX-2-Inhibitor;Calmodulin-Antagonist;Cancer-Preventive;Candidicide;Capillariprotective;Carcinogenic;Catabolic;Copper-Chelator;Cyclooxygenase-Inhibitor;Cytochrome-P450-1A2-Inhibitor;Cytotoxic;Deiodinase-Inhibitor;Diaphoretic?;Differentiator;Estrogenic;Fungicide;Glucosyl-Transferase-Inhibitor;HIV-RT-Inhibitor;Hemostat;Hepatomagenic;Hepatoprotective;Hypoglycemic;Inotropic;Insulinogenic;Juvabional;Larvistat;Lipoxygenase-Inhibitor;MAO-A-Inhibitor;MMP-9-Inhibitor;Mast-Cell-Stabilizer;Metal-Chelator (Copper);Metalloproteinase-Inhibitor;Mutagenic;NADH-Oxidase-Inhibitor;NEP-Inhibitor;NF-kB-Inhibitor;NO-Inhibitor;NO-Synthase-Inhibitor;Neuroprotective;Ornithine-Decarboxylase-Inhibitor;P450-Inducer;P450-Inhibitor;PGE2-Inhibitor;PTK-Inhibitor;Pesticide;Phospholipase-Inhibitor;Plasmodicide;Proliferant;Prostaglandin-Synthesis-Inhibitor;Protein-Kinase-C-Inhibitor;Quinone-Reductase-Inducer;TNF-alpha-Inhibitor;Teratologic;Topoisomerase-I-Inhibitor;Topoisomerase-II-Inhibitor;Tumorigenic;Tyrosinase-Inhibitor;Tyrosine-Kinase-Inhibitor;VEGF-Inhibitor;Vasodilator;Xanthine-Oxidase-Inhibitor;cAMP-Phosphodiesterase-Inhibitor;iNOS-Inhibitor,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Altitude Sickness;Alzheimers;Amenorrhea;Angina;Anthrax;Anxiety Disorders;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Arthritis;Asthma;Athletes Foot;BO (Body Odor);BPH;Backache;Bipolar;Breached Birth;Bronchitis;Bruises;Bunion;Burns;Bursitis;Cancer;Candidiasis;Canker Sores;Cardiopathy/Heart Problems;Caries;Carpal Tunnel Syndrome (CTS);Cataracts;Cellulite;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Conjunctivitis;Constipation;Cough;Cramp;Crohns Disease;Cystitis;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diarrhea;Diverticulitis;Dry Mouth / Xerostomia;Dysentery;Dysmenorrhea;Dyspepsia/Indigestion;Edema;Emphysema;Epilepsy;Fever;Fibromyalgia;Frigidity;Fungus/Mycosis;GERD / Esophageal Reflux;Giardia;Gingivitis;Glaucoma;Gout;Halitosis;Hangover;Hayfever;Headache;Heart Attack/Coronary Infarct;Hemorrhoids;Hepatoses/Liver;Herpes;Hiccups;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Impotence;Incontinence;Infarction;Infection;Inflammation;Insect Bites / Stings;Insomnia;Intermittent Claudication;Intestinal Parasites;Ischemia;Itch;Jaundice;Kidney Stones;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Macular Degeneration;Maculitis;Malaria;Mastitis;Melanoma;Menopause;Migraine;Motion Sickness;Multiple Sclerosis;Nausea;Neuropathy;Nightmare;Obesity;Ophthalmia;Osteoporosis;Otitis/Earache;Pain;Parkinsons Disease;Pneumonia;Poison Ivy;Poison Oak;Poison Sumac;Premenstrual Syndrome/PMS;Prostatitis;Psoriasis;Raynauds Disease;Rheumatism;Sciatica;Sepsis;Sinusitis;Snakebite;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Varicose Veins;Viral Infections (Chronic);Warts;Wound;Wrinkles;Yeast Infection,31
Selenium,Selenium,,,,curated,human_trial,True,,antioxidant;anti_inflammatory;anti_angiogenic;anti_proliferative;anti_metastatic;immune_modulating,antioxidant_chemo_timing;immunotherapy_caution,SELENIUM,AP-1-Inhibitor;Analgesic;Anorexic;AntiHIV;AntiNF-kB;Antiacne;Antiaggregant;Antiangiogenic;Antiarthritic;Antiasthmatic;Antiatherosclerotic;Anticataract;Anticirrhotic;Anticlimacteric;Anticoronary;Antidandruff;Antidepressant;Antidote (Mercury);Antifibrotic;Antigout;Antikeshan;Antileukemic;Antileukotriene;Antimaculitic;Antimelanomic;Antimenopausal;Antimetastatic;Antimyalgic;Antiosteoarthritic;Antioxidant;Antiparkinsonian;Antiproliferant;Antiradicular;Antirheumatic;Antisyndrome-X;Antitumor;Antitumor (Breast);Antitumor (Lung);Antitumor (Prostate);Antitumor (brain);Antiulcerogenic;Anxiolytic;Apoptotic;Cancer-Preventive;Cardioprotective;Depressant;Fungicide;Immunomodulator;Immunostimulant;NF-kB-Inhibitor;Ornithine-Decarboxylase-Inhibitor;Pesticide;Polyamine-Synthesis-Inhibitor;Prostaglandin-Sparer;Protein-Kinase-C-Inhibitor;VEGF-Inhibitor,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Altitude Sickness;Alzheimers;Amenorrhea;Angina;Anthrax;Anxiety Disorders;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Arthritis;Asthma;Athletes Foot;BO (Body Odor);BPH;Backache;Bipolar;Breached Birth;Breast Feeding Problems;Bronchitis;Bruises;Bunion;Burns;Bursitis;Cancer;Candidiasis;Canker Sores;Cardiopathy/Heart Problems;Caries;Carpal Tunnel Syndrome (CTS);Cataracts;Cellulite;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Cough;Cramp;Crohns Disease;Cystitis;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diverticulitis;Dry Mouth / Xerostomia;Dysmenorrhea;Dyspepsia/Indigestion;Edema;Emphysema;Epilepsy;Fever;Fibromyalgia;Frigidity;Fungus/Mycosis;GERD / Esophageal Reflux;Gingivitis;Glaucoma;Gout;Halitosis;Hangover;Hayfever;Headache;Heart Attack/Coronary Infarct;Hemorrhoids;Hepatoses/Liver;Herpes;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Impotence;Incontinence;Infarction;Infection;Inflammation;Insect Bites / Stings;Insomnia;Intermittent Claudication;Ischemia;Itch;Jaundice;Kidney Stones;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Macular Degeneration;Maculitis;Malaria;Melanoma;Menopause;Migraine;Motion Sickness;Multiple Sclerosis;Nausea;Neuropathy;Nightmare;Obesity;Ophthalmia;Otitis/Earache;Pain;Parkinsons Disease;Pneumonia;Poison Ivy;Poison Oak;Poison Sumac;Premenstrual Syndrome/PMS;Psoriasis;Raynauds Disease;Rheumatism;Sciatica;Sepsis;Sinusitis;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Varicose Veins;Viral Infections (Chronic);Warts;Wound;Wrinkles;Yeast Infection,29
Resveratrol,Resveratrol,,,,curated,human_trial,True,,antioxidant;anti_inflammatory;anti_angiogenic;anti_proliferative;signaling;hormonal;detox_phase2,antioxidant_chemo_timing;hormone_sensitive,RESVERATROL,5-HETE-Inhibitor;5-HT-Inhibitor;5-Lipoxygenase-Inhibitor;Akt-Inhibitor;Antiaggregant;Antiangiogenic;Antibacterial;Anticancer;Anticarcinogenic;Antiedemic;Antieicosanoid;Antiinflammatory;Antileukemic;Antileukotriene;Antilipoperoxidant;Antimutagenic;Antioxidant;Antiperoxidant;Antiproliferant;Antiprostaglandin;Antiradicular;Antiseptic;Antithrombic;Antitumor;Antitumor (Mammary);Antitumor (Prostate);Antitumor (Skin);Apoptotic;Artemicide;Beta-Glucuronidase-Inhibitor;COX-1-Inhibitor;COX-2-Inhibitor;CYP1A1-Inhibitor;Cardioprotective;Casein-Kinase-II-Inhibitor;Chemopreventive;Cyclooxygenase-Inhibitor;Differentiator;Elastase-Inhibitor;Estrogenic;Fungicide;HIF-1alpha-Inhibitor;Hepatoprotective;Hydroperoxidase-Inhibitor;Hypocholesterolemic;Hypotriglyceridemic;IKB-kinase-Inhibitor;JNK-Inhibitor;Lipolytic;MAPK-Inhibitor;NADH-Ubiquinone-Oxidoreductase-Inhibitor;NF-kB-Inhibitor;Ornithine-Decarboxylase-Inhibitor;PKC-Inhibitor;PKD-Inhibitor;PTK-Inhibitor;Pesticide;Phytoalexin;Quinone-Reductase-Inducer;Topoisomerase-II-Inhibitor;VEGF-Inhibitor,ADD;AIDS/HIV;Aging;Alcoholism;Allergy;Altitude Sickness;Alzheimers;Amenorrhea;Angina;Anthrax;Apoplexy/Stroke;Arrhythmia (Cardiac);Arteriosclerosis/Atherosclerosis;Arthritis;Asthma;Athletes Foot;BO (Body Odor);BPH;Backache;Bipolar;Breached Birth;Bronchitis;Bruises;Bunion;Burns;Bursitis;Cancer;Candidiasis;Canker Sores;Cardiopathy/Heart Problems;Caries;Carpal Tunnel Syndrome (CTS);Cataracts;Cellulite;Chronic Fatigue Syndrome;Chronic Venous Insufficiency/CVI;Cold/Flu;Conjunctivitis;Constipation;Cough;Cramp;Crohns Disease;Cystitis;Dandruff;Decubitis;Depression;Dermatitis/Dermatoses;Diabetes;Diarrhea;Diverticulitis;Dysentery;Dysmenorrhea;Dyspepsia/Indigestion;Edema;Emphysema;Epilepsy;Fever;Fibromyalgia;Frigidity;Fungus/Mycosis;GERD / Esophageal Reflux;Giardia;Gingivitis;Glaucoma;Gout;Halitosis;Hangover;Hayfever;Headache;Heart Attack/Coronary Infarct;Hemorrhoids;Hepatoses/Liver;Herpes;High Blood Pressure/Hypertension;High Cholesterol/Hypercholesterolemia;Hives;IBD;Impotence;Incontinence;Infarction;Infection;Inflammation;Insect Bites / Stings;Intermittent Claudication;Intestinal Parasites;Ischemia;Itch;Jaundice;Kidney Stones;Leishmaniasis;Lipoma;Low Blood Pressure/Hypotension;Lyme Disease (Chronic);Lyme Disease (Initial);MRSA;Macular Degeneration;Maculitis;Malaria;Mastitis;Melanoma;Menopause;Migraine;Multiple Sclerosis;Neuropathy;Obesity;Ophthalmia;Osteoporosis;Otitis/Earache;Pain;Parkinsons Disease;Pneumonia;Poison Ivy;Poison Oak;Poison Sumac;Premenstrual Syndrome/PMS;Prostatitis;Psoriasis;Raynauds Disease;Rheumatism;Sciatica;Sepsis;Sinusitis;Snakebite;Sore;Sore Throat / Laryngitis / Pharyngitis;Stomatosis;Stress;Sunburn;Syndrome X;Thrombosis / Blood Clot;Tinnitus;Toothache;Tuberculosis;UTI;Ulcer;Vaginitis;Varicose Veins;Viral Infections (Chronic);Warts;Wound;Wrinkles;Yeast Infection,28
